"fcl","measuredItemCPC","level","predictions","consumable","mainFoodPct","mainFood"
898,"22212",1,0.810688875207409,TRUE,0.185294117647059,FALSE
899,"22230.04",2,0.810688875207409,TRUE,0.423529411764706,FALSE
900,"22130.02",2,0.0477723654223531,FALSE,0.161843515541265,FALSE
901,"22251.01",1,0.810688875207409,TRUE,0.428271518544437,FALSE
903,"22130.03",1,0.0477723654223531,FALSE,0.90452876376989,FALSE
904,"22251.02",2,0.810688875207409,TRUE,0.532219570405728,TRUE
905,"22251.03",2,0.810688875207409,TRUE,0.316546762589928,FALSE
907,"22251.04",2,0.810688875207409,TRUE,0.102508178844057,FALSE
909,"22290",NA,0.810688875207409,TRUE,0,FALSE
910,"22270",NA,0.810688875207409,TRUE,0,FALSE
916,"23993.01",2,0.0477723654223531,FALSE,0,FALSE
917,"22260",2,0.0477723654223531,FALSE,0.195061728395062,FALSE
918,NA,NA,NA,NA,0,FALSE
919,"02951.01",1,0.0477723654223531,FALSE,1,FALSE
920,"02951.04",2,0.0477723654223531,FALSE,0.715083798882682,FALSE
921,"02951.05",3,0.0477723654223531,FALSE,0.745879120879121,FALSE
922,"02951.91",2,0.0477723654223531,FALSE,0.421052631578947,FALSE
928,"02951.06",2,0.0477723654223531,FALSE,0.401084010840108,FALSE
929,"02951.07",3,0.0477723654223531,FALSE,0.289655172413793,FALSE
930,"02951.92",2,0.0477723654223531,FALSE,0.311111111111111,FALSE
944,NA,NA,NA,NA,0,FALSE
945,NA,NA,NA,NA,0,FALSE
946,"02112",0,0.0477723654223531,FALSE,0,FALSE
947,"21112",1,0.810688875207409,TRUE,0.660583941605839,TRUE
948,"21152",1,0.810688875207409,TRUE,0.979274611398964,TRUE
949,"21513",1,0.810688875207409,TRUE,1,TRUE
951,"02212",NA,0.810688875207409,TRUE,0.712328767123288,TRUE
952,"22242.01",NA,0.810688875207409,TRUE,0.8,TRUE
953,"22242.02",NA,0.810688875207409,TRUE,0.5,FALSE
954,"22110.04",NA,0.810688875207409,TRUE,0.625,TRUE
955,"22252",NA,0.810688875207409,TRUE,0.666666666666667,TRUE
957,"02951.03",1,0.0477723654223531,FALSE,1,FALSE
958,"02951.08",NA,0.0477723654223531,FALSE,1,FALSE
959,"02951.09",NA,0.0477723654223531,FALSE,0.96551724137931,FALSE
972,NA,NA,NA,NA,0,FALSE
973,NA,NA,NA,NA,0,FALSE
976,"02122",0,0.0477723654223531,FALSE,0,FALSE
977,"21115",1,0.810688875207409,TRUE,0.794733288318704,TRUE
978,"21155",1,0.810688875207409,TRUE,0.920957215373459,TRUE
979,"21514",1,0.810688875207409,TRUE,0.99773413897281,TRUE
982,"02291",0,0.810688875207409,TRUE,0.505494505494505,TRUE
983,"22249.01",NA,0.810688875207409,TRUE,0.807692307692308,TRUE
984,"22253",1,0.810688875207409,TRUE,0.583333333333333,TRUE
985,"22110.05",NA,0.810688875207409,TRUE,0.923076923076923,TRUE
987,"02941",NA,0.0477723654223531,FALSE,0,FALSE
988,"26130",NA,0.0477723654223531,FALSE,0,FALSE
994,"F0994",NA,0.0477723654223531,FALSE,0,FALSE
995,"02953",1,0.0477723654223531,FALSE,1,FALSE
996,"02953.03",2,0.0477723654223531,FALSE,0.98389458272328,FALSE
997,"02953.04",3,0.0477723654223531,FALSE,0.652741514360313,FALSE
998,"02953.05",2,0.0477723654223531,FALSE,0.395348837209302,FALSE
999,"02953.01",2,0.0477723654223531,FALSE,0.385359116022099,FALSE
1002,"02955.01",NA,0.0477723654223531,FALSE,0,FALSE
1007,"39213",NA,0.0477723654223531,FALSE,0,FALSE
1008,"26150.01",NA,0.0477723654223531,FALSE,0,FALSE
1009,"F1009",NA,0.0477723654223531,FALSE,0,FALSE
1010,"26150.02",NA,0.0477723654223531,FALSE,0,FALSE
1012,NA,NA,NA,NA,0,FALSE
1013,NA,NA,NA,NA,0,FALSE
1016,"02123",0,0.0477723654223531,FALSE,0,FALSE
1017,"21116",1,0.810688875207409,TRUE,0.892777364110201,TRUE
1018,"21156",1,0.810688875207409,TRUE,0.994299674267101,TRUE
1019,"21515",1,0.810688875207409,TRUE,1,TRUE
1020,"02292",0,0.810688875207409,TRUE,0.688157894736842,TRUE
1021,"22254",1,0.810688875207409,TRUE,0.797752808988764,TRUE
1022,"22249.02",NA,0.810688875207409,TRUE,0,FALSE
1025,"02954",1,0.0477723654223531,FALSE,1,FALSE
1026,"02954.01",2,0.0477723654223531,FALSE,0.864453665283541,FALSE
1027,"02954.02",3,0.0477723654223531,FALSE,0.730462519936204,FALSE
1028,"02954.90",2,0.0477723654223531,FALSE,0.558139534883721,FALSE
1030,"02943.01",NA,0.0477723654223531,FALSE,0,FALSE
1031,"02942.02",NA,0.0477723654223531,FALSE,0,FALSE
1032,NA,NA,NA,NA,0,FALSE
1033,NA,NA,NA,NA,0,FALSE
1034,"02140",0,0.0477723654223531,FALSE,0,FALSE
1035,"21113.01",1,0.810688875207409,TRUE,0.881069669247009,TRUE
1036,"21153",1,0.810688875207409,TRUE,0.858413639733136,TRUE
1037,"21511.01",1,0.810688875207409,TRUE,0.924174174174174,TRUE
1038,"21113.02",2,0.810688875207409,TRUE,0.457264957264957,FALSE
1039,"21181",2,0.810688875207409,TRUE,0.276666666666667,FALSE
1040,"21511.02",2,0.0477723654223531,FALSE,0.974248927038627,FALSE
1041,"21184.02",2,0.810688875207409,TRUE,0.206896551724138,FALSE
1042,"F1042",2,0.810688875207409,TRUE,0.208866155157715,FALSE
1043,"21521",2,0.810688875207409,TRUE,0.644444444444444,TRUE
1044,"02959.01",1,0.0477723654223531,FALSE,1,FALSE
1045,"02959.03",2,0.0477723654223531,FALSE,0.118840579710145,FALSE
1046,"02959.04",NA,0.0477723654223531,FALSE,0.241379310344828,FALSE
1047,"02959.05",NA,0.0477723654223531,FALSE,0,FALSE
1055,NA,NA,NA,NA,0,FALSE
1056,NA,NA,NA,NA,0,FALSE
1057,"02151",0,0.0477723654223531,FALSE,0,FALSE
1058,"21121",1,0.810688875207409,TRUE,0.800660066006601,TRUE
1059,"21160.01",1,0.810688875207409,TRUE,0.421686746987952,FALSE
1060,"21189.05",2,0.810688875207409,TRUE,0.286075949367089,FALSE
1061,"F1061",2,0.810688875207409,TRUE,0.158862876254181,FALSE
1062,"0231",0,0.810688875207409,TRUE,0.931307793923382,TRUE
1063,"23993.02",1,0.810688875207409,TRUE,0.00110741971207087,FALSE
1064,"23993.03",1,0.810688875207409,TRUE,0.00239520958083832,FALSE
1065,"21511.03",2,0.0477723654223531,FALSE,0.457142857142857,FALSE
1066,"21522",3,0.810688875207409,TRUE,0.265384615384615,FALSE
1067,NA,NA,NA,NA,0,FALSE
1068,"02154",0,0.0477723654223531,FALSE,0,FALSE
1069,"21122",1,0.810688875207409,TRUE,0.457865168539326,FALSE
1070,NA,NA,NA,NA,0,FALSE
1071,NA,NA,NA,NA,0,FALSE
1072,"02153",0,0.0477723654223531,FALSE,0,FALSE
1073,"21123",1,0.810688875207409,TRUE,0.502066115702479,TRUE
1074,"21160.02",2,0.810688875207409,TRUE,0.0626780626780627,FALSE
1075,"21160.03",1,0.810688875207409,TRUE,0.118840579710145,FALSE
1077,NA,NA,NA,NA,0,FALSE
1078,NA,NA,NA,NA,0,FALSE
1079,"02152",0,0.0477723654223531,FALSE,0,FALSE
1080,"21124",1,0.810688875207409,TRUE,0.338568935427574,FALSE
1081,"21160.04",1,0.810688875207409,TRUE,0.259541984732824,FALSE
1083,"02194",0,0.0477723654223531,FALSE,0,FALSE
1084,NA,NA,NA,NA,0,FALSE
1085,NA,NA,NA,NA,0,FALSE
1087,NA,NA,NA,NA,0,FALSE
1088,NA,NA,NA,NA,0,FALSE
1089,"21170.01",NA,0.810688875207409,TRUE,0.238683127572016,FALSE
1091,"0232",NA,0.810688875207409,TRUE,0,FALSE
1092,NA,NA,NA,NA,0,FALSE
1094,NA,NA,NA,NA,0,FALSE
1095,NA,NA,NA,NA,0,FALSE
1096,"02131",0,0.0477723654223531,FALSE,0,FALSE
1097,"21118.01",1,0.810688875207409,TRUE,0.730253353204173,TRUE
1098,"21159.01",1,0.810688875207409,TRUE,0.745145631067961,TRUE
1100,"39110.01",NA,0.0477723654223531,FALSE,0,FALSE
1102,"02952.01",1,0.0477723654223531,FALSE,1,FALSE
1103,"02952.04",2,0.0477723654223531,FALSE,0.589442815249267,FALSE
1104,"02952.05",3,0.0477723654223531,FALSE,1,FALSE
1105,"02952.90",2,0.0477723654223531,FALSE,0.567567567567568,FALSE
1107,"02132",NA,0.0477723654223531,FALSE,0,FALSE
1108,"21118.02",NA,0.810688875207409,TRUE,1,TRUE
1109,"02952.02",NA,0.0477723654223531,FALSE,1,FALSE
1110,"02133",NA,0.0477723654223531,FALSE,0,FALSE
1111,"21118.03",NA,0.810688875207409,TRUE,1,TRUE
1112,"02952.03",NA,0.0477723654223531,FALSE,1,FALSE
1115,NA,NA,NA,NA,0,FALSE
1120,NA,NA,NA,NA,0,FALSE
1121,NA,NA,NA,NA,0,FALSE
1122,NA,NA,NA,NA,0,FALSE
1123,NA,NA,NA,NA,0,FALSE
1124,NA,NA,NA,NA,0,FALSE
1125,NA,NA,NA,NA,0,FALSE
1126,"02121.01",0,0.0477723654223531,FALSE,0,FALSE
1127,"21117.01",1,0.810688875207409,TRUE,1,TRUE
1128,"21159.02",1,0.810688875207409,TRUE,1,TRUE
1129,"21519.02",1,0.810688875207409,TRUE,1,TRUE
1130,"02293",NA,0.810688875207409,TRUE,0,FALSE
1133,"02959.02",1,0.0477723654223531,FALSE,1,FALSE
1137,NA,NA,NA,NA,0,FALSE
1138,NA,NA,NA,NA,0,FALSE
1140,"02191",0,0.0477723654223531,FALSE,0,FALSE
1141,"21114",1,0.810688875207409,TRUE,0.603268945022288,TRUE
1144,NA,NA,NA,NA,0,FALSE
1145,NA,NA,NA,NA,0,FALSE
1146,"02955.02",1,0.0477723654223531,FALSE,0.924623115577889,FALSE
1151,"21119.01",NA,0.810688875207409,TRUE,1,TRUE
1154,NA,NA,NA,NA,0,FALSE
1155,NA,NA,NA,NA,0,FALSE
1158,"21117.02",NA,0.810688875207409,TRUE,1,TRUE
1159,NA,NA,NA,NA,0,FALSE
1160,"21519.03",NA,0.810688875207409,TRUE,1,TRUE
1161,NA,NA,NA,NA,0,FALSE
1162,NA,NA,NA,NA,0,FALSE
1163,"21170.02",0,0.810688875207409,TRUE,0.763406940063092,TRUE
1164,"21183",1,0.810688875207409,TRUE,0.201680672268908,FALSE
1166,"21119.90",0,0.810688875207409,TRUE,0.701219512195122,TRUE
1167,"21170.93",1,0.810688875207409,TRUE,0.0691489361702128,FALSE
1168,"21529.03",2,0.0477723654223531,FALSE,0.318965517241379,FALSE
1169,"02199.10",NA,0.0477723654223531,FALSE,0,FALSE
1171,"02199.20",NA,0.0477723654223531,FALSE,0,FALSE
1172,"F1172",1,0.810688875207409,TRUE,0.24801412180053,FALSE
1173,"21190.01",NA,0.0477723654223531,FALSE,0,FALSE
1174,"21291",NA,0.0477723654223531,FALSE,0,FALSE
1176,"02920",NA,0.0477723654223531,FALSE,0,FALSE
1181,"02196",NA,0.0477723654223531,FALSE,0,FALSE
1182,"02910",0,0.810688875207409,TRUE,0.941648431801605,TRUE
1183,"02960.01",NA,0.0477723654223531,FALSE,0,FALSE
1185,"02944",NA,0.0477723654223531,FALSE,0,FALSE
1186,"26110",NA,0.0477723654223531,FALSE,0,FALSE
1187,"39211",NA,0.0477723654223531,FALSE,0,FALSE
1195,"02955.90",NA,0.0477723654223531,FALSE,0,FALSE
1214,"02959.20",NA,0.0477723654223531,FALSE,0,FALSE
1215,"02959.30",NA,0.0477723654223531,FALSE,0,FALSE
1216,"02959.40",NA,0.0477723654223531,FALSE,0,FALSE
1217,"F1217",NA,0.0477723654223531,FALSE,0,FALSE
1218,"02943.02",NA,0.0477723654223531,FALSE,0,FALSE
1219,"02942.90",1,0.0477723654223531,FALSE,0.065625,FALSE
1221,"21529.02",2,0.0477723654223531,FALSE,0.0936936936936937,FALSE
1222,"21932.01",NA,0.0477723654223531,FALSE,0,FALSE
1223,"F1223",NA,0.0477723654223531,FALSE,0,FALSE
1225,"21523",2,0.0477723654223531,FALSE,0.437100213219616,FALSE
1232,"F1232",NA,0.810688875207409,TRUE,0,FALSE
1241,"21700.01",2,0.810688875207409,TRUE,0.0777777777777778,FALSE
1242,"21700.02",1,0.810688875207409,TRUE,0.403458213256484,FALSE
1243,"F1243",1,0.810688875207409,TRUE,0.187797147385103,FALSE
1259,"39170.02",NA,0.0477723654223531,FALSE,0,FALSE
1273,"21693.02",NA,0.0477723654223531,FALSE,0,FALSE
1274,"34550",1,0.0477723654223531,FALSE,0.165474060822898,FALSE
1275,"F1275",1,0.0477723654223531,FALSE,0.164869029275809,FALSE
1276,"34120",1,0.0477723654223531,FALSE,0.0561312607944732,FALSE
1277,"21932.02",1,0.0477723654223531,FALSE,0.0373983739837398,FALSE
1291,"03219.01",NA,0.0477723654223531,FALSE,0,FALSE
1292,"03219.90",NA,0.0477723654223531,FALSE,0,FALSE
1293,"F1293",NA,0.0477723654223531,FALSE,0,FALSE
1294,"F1294",NA,0.0477723654223531,FALSE,0,FALSE
1295,"02960.02",NA,0.0477723654223531,FALSE,0,FALSE
1296,"21931",NA,0.0477723654223531,FALSE,0,FALSE
