FAOCode,FAOName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
12,Bahamas,5566.991889,5334.199278,5130.139734,5145.919301,5307.970294,5540.382963,5774.380893,6124.886403,6597.150661,6816.305318,7099.13097,7285.527781,7482.574298,7387.93863,7453.165644,7706.221927,7900.177218,8014.455246,7828.203864,7501.356033,7616.782878,7663.468313,7900.014132,7900.82832,7859.392285,7728.639905,7682.896427
13,Bahrain,7784.405555,8139.054345,8773.632025,9904.141676,9694.558831,9882.061284,10204.56445,10440.28204,10950.60555,11602.52368,12416.80907,12726.11605,13152.25212,13980.37843,14956.34112,15968.72681,17001.43149,18411.52916,19560.74856,20057.6908,20927.54343,21342.63585,22138.35104,23337.55002,24352.79852,25050.34859,26012.22946
14,Barbados,3326.223641,3196.50092,2972.745855,3008.418806,3122.738719,3185.193495,3312.601234,3468.293492,3596.62035,3611.006831,3694.05999,3598.014429,3623.20053,3695.664542,3747.403845,3897.3,4119.4461,4193.596128,4210.370512,4041.955694,4054.081559,4086.514212,4098.773755,4094.674981,4102.864331,4139.068247,4188.751802
16,Bangladesh,27880.67622,28828.56777,30047.23744,31421.81221,32705.2955,34316.01738,35902.13161,37836.42252,39814.31647,41752.92451,44235.05945,46567.82162,48624.04992,51179.7272,54388.95348,57628.09748,61448.45694,65785.85269,69742.06282,73260.63757,77342.57615,82342.298,87712.21107,92986.88189,98622.88982,105085.2862,112235.413
17,Bermuda,3330.577819,3339.285427,3248.266281,3326.96334,3379.537576,3561.904455,3699.911823,3870.320437,4021.643286,4157.970177,4282.027648,4591.243571,4523.394821,4677.674343,4787.966856,4868.135685,5092.369351,5261.436313,5321.370837,5004.932109,4880.853984,4664.844952,4481.170965,4373.911124,4354.736441,4369.981195,4414.424536
18,Bhutan,331.0371906,333.4877443,345.7229044,352.6826922,373.4138562,398.727474,424.2675479,449.1862052,476.7234116,514.5844951,559.5444704,605.4483736,670.3999117,721.848827,764.4214607,818.86961,874.9749212,1031.997133,1080.884975,1152.831831,1288.079629,1389.730857,1460.205428,1491.4871,1572.904805,1654.911564,1759.255745
19,Bolivia (Plurinational State of),5665.279608,5963.476933,6061.792128,6320.419788,6615.732222,6924.984871,7227.158825,7585.207362,7966.69434,8000.702992,8201.345501,8339.439677,8546.721939,8778.452615,9144.803389,9549.120156,10007.20293,10463.96506,11107.34264,11480.24337,11953.99054,12576.07945,13220.26093,14118.71134,14889.67341,15611.49636,16296.48394
20,Botswana,5160.299954,5543.400684,5709.7613,5819.166456,6030.398224,6454.359959,6830.636241,7378.900608,7432.175765,8150.662089,8312.672462,8333.504502,8839.305866,9248.208315,9498.445196,9931.249182,10761.89148,11652.9913,12380.38469,11432.99925,12412.0792,13162.80102,13749.35744,15105.04473,15589.15238,15549.36536,16120.72015
21,Brazil,608045.8991,614308.7718,608556.817,637987.8019,675324.8195,703847.7953,718984.232,743251.7793,743514.5279,745403.5399,777502.0862,787711.6123,808649.7281,817921.8662,863968.4169,891633.8266,926960.2581,983225.5464,1033312.977,1032012.946,1109705.211,1153085.941,1175201.929,1210617.815,1176157.131,1130906.102,1115386.872
22,Aruba,1331.262305,1437.269025,1521.814262,1633.023766,1766.995449,1811.28974,1833.841854,1977.146173,2108.955032,2133.302272,2229.60086,2163.460405,2092.320189,2134.206484,2303.08139,2331.005587,2355.605474,2403.475526,2406.799836,2134.206484,2062.401406,2135.536208,2106.282287,2194.708911,2213.325042,2215.319628,2225.236134
